t,p
1.002885e-01,-1.430970e-01
1.030001e-01,-1.241675e-01
1.057406e-01,-6.055125e-02
1.096614e-01,1.229676e-01
1.126654e-01,-3.521330e-02
1.175390e-01,2.648233e-02
1.228937e-01,1.686800e-01
1.246925e-01,1.538820e-01
1.286143e-01,-9.212126e-03
1.342536e-01,-2.258675e-02
1.384698e-01,-1.207061e-01
1.426552e-01,-6.618029e-02
1.458596e-01,4.168532e-02
1.519482e-01,3.898963e-02
1.580216e-01,1.147860e-02
1.600147e-01,9.654056e-02
1.666708e-01,-7.373674e-02
1.697458e-01,-4.880362e-03
1.763385e-01,7.100693e-02
1.811424e-01,5.687641e-02
1.899921e-01,1.036594e-01
1.942664e-01,3.876174e-02
2.036238e-01,-2.919015e-02
2.100559e-01,3.555238e-02
2.162128e-01,-9.586688e-02
2.183278e-01,-1.571929e-01
2.298159e-01,5.636240e-02
2.384620e-01,-4.938127e-03
2.466511e-01,3.029385e-02
2.507180e-01,-1.630618e-01
2.615648e-01,-3.477094e-02
2.688239e-01,-5.730538e-02
2.780767e-01,-8.275180e-02
2.924031e-01,-2.166604e-01
2.965802e-01,-3.180811e-02
3.085846e-01,8.686452e-02
3.215146e-01,3.721800e-02
3.273694e-01,-5.750361e-02
3.396258e-01,-1.043128e-03
3.514934e-01,7.319723e-02
3.628338e-01,-2.653902e-01
3.700799e-01,-1.158865e-02
3.870183e-01,5.285146e-02
4.046597e-01,6.642118e-02
4.063539e-01,1.644237e-01
4.295069e-01,1.101960e-01
4.404094e-01,3.121691e-02
4.514980e-01,3.038992e-02
4.783077e-01,7.737571e-02
4.880984e-01,-5.026396e-02
4.946266e-01,-2.203639e-03
5.171289e-01,8.911403e-02
5.366464e-01,1.902395e-01
5.501334e-01,-1.342919e-02
5.729347e-01,-2.706742e-03
5.874246e-01,2.108680e-02
6.109583e-01,1.311895e-01
6.356646e-01,-1.013204e-03
6.432189e-01,1.433852e-01
6.699242e-01,-9.087301e-02
6.874170e-01,-1.552156e-02
7.139699e-01,-1.656615e-02
7.280485e-01,7.826886e-02
7.562972e-01,1.032185e-01
7.839406e-01,-1.425187e-01
8.181923e-01,-8.516574e-02
8.469810e-01,3.556943e-02
8.541209e-01,-6.001854e-02
8.865855e-01,-1.430060e-01
9.284200e-01,1.035436e-01
9.347076e-01,5.105528e-02
9.796411e-01,5.102794e-02
1.015279e+00,-4.218078e-02
1.062292e+00,1.030276e-01
1.091070e+00,-1.894952e-02
1.115785e+00,1.096365e-01
1.151843e+00,-8.341077e-02
1.190900e+00,-7.752620e-02
1.251095e+00,2.465421e-02
1.267951e+00,-6.265316e-02
1.311020e+00,7.015089e-02
1.362523e+00,3.045802e-02
1.400707e+00,-8.315935e-02
1.445483e+00,1.306864e-02
1.479650e+00,-2.744435e-02
1.544411e+00,9.499737e-02
1.588325e+00,-5.367210e-02
1.665971e+00,-3.458980e-02
1.712004e+00,1.243292e-01
1.756524e+00,2.234321e-01
1.826168e+00,2.007540e-01
1.867685e+00,1.457032e-02
